3
sumW  sumStop
0.000000E+00 1.000000E+00 0.000000E+00
1.000000E+00 1.000000E+00 -5.551115E-16
2.000000E+00 1.000000E+00 5.551115E-16
3.000000E+00 1.000000E+00 -3.330669E-16
4.000000E+00 1.000000E+00 3.330669E-16
5.000000E+00 1.000000E+00 -1.110223E-16
6.000000E+00 1.000000E+00 0.000000E+00
7.000000E+00 1.000000E+00 1.110223E-16
8.000000E+00 1.000000E+00 2.220446E-16
9.000000E+00 1.000000E+00 -5.551115E-16
1.000000E+01 1.000000E+00 2.220446E-16
1.100000E+01 1.000000E+00 3.330669E-16
1.210000E+01 1.000000E+00 -3.027881E-16
1.320000E+01 1.000000E+00 0.000000E+00
1.430000E+01 1.000000E+00 0.000000E+00
1.540000E+01 1.000000E+00 1.009294E-16
1.650000E+01 1.000000E+00 -1.009294E-16
1.760000E+01 1.000000E+00 0.000000E+00
1.870000E+01 1.000000E+00 0.000000E+00
1.980000E+01 1.000000E+00 -2.018587E-16
2.090000E+01 1.000000E+00 3.027881E-16
2.200000E+01 1.000000E+00 -5.046468E-16
2.310000E+01 1.000000E+00 0.000000E+00
2.431000E+01 1.000000E+00 0.000000E+00
2.552000E+01 1.000000E+00 1.835079E-16
2.673000E+01 1.000000E+00 0.000000E+00
2.794000E+01 1.000000E+00 1.835079E-16
2.915000E+01 1.000000E+00 -1.835079E-16
3.036000E+01 1.000000E+00 0.000000E+00
3.157000E+01 1.000000E+00 1.835079E-16
3.278000E+01 1.000000E+00 1.835079E-16
3.399000E+01 1.000000E+00 0.000000E+00
3.520000E+01 1.000000E+00 -3.670159E-16
3.641000E+01 1.000000E+00 3.670159E-16
3.774100E+01 1.000000E+00 -1.668254E-16
3.907200E+01 1.000000E+00 -1.668254E-16
4.040300E+01 1.000000E+00 -1.668254E-16
4.173400E+01 1.000000E+00 4.170635E-16
4.306500E+01 1.000000E+00 -8.341270E-17
4.439600E+01 1.000000E+00 -3.336508E-16
4.572700E+01 1.000000E+00 0.000000E+00
4.705800E+01 1.000000E+00 3.336508E-16
4.838900E+01 1.000000E+00 0.000000E+00
4.972000E+01 1.000000E+00 1.668254E-16
5.105100E+01 1.000000E+00 -3.336508E-16
5.251510E+01 1.000000E+00 4.549784E-16
5.397920E+01 1.000000E+00 1.516595E-16
5.544330E+01 1.000000E+00 -3.791486E-16
5.690740E+01 1.000000E+00 -7.582973E-17
5.837150E+01 1.000000E+00 0.000000E+00
5.983560E+01 1.000000E+00 0.000000E+00
6.129970E+01 1.000000E+00 -1.516595E-16
6.276380E+01 1.000000E+00 5.308081E-16
6.422790E+01 1.000000E+00 -8.341270E-16
6.569200E+01 1.000000E+00 6.824675E-16
6.715610E+01 1.000000E+00 -3.791486E-16
6.876661E+01 1.000000E+00 1.378722E-16
7.037712E+01 1.000000E+00 -1.378722E-16
7.198763E+01 1.000000E+00 2.757445E-16
7.359814E+01 1.000000E+00 -2.757445E-16
7.520865E+01 1.000000E+00 0.000000E+00
7.681916E+01 1.000000E+00 -2.757445E-16
7.842967E+01 1.000000E+00 0.000000E+00
8.004018E+01 1.000000E+00 4.136167E-16
8.165069E+01 1.000000E+00 -4.136167E-16
8.326120E+01 1.000000E+00 4.825528E-16
8.487171E+01 1.000000E+00 -2.068083E-16
8.664327E+01 1.000000E+00 -3.760152E-16
8.841483E+01 1.000000E+00 3.760152E-16
9.018639E+01 1.000000E+00 1.253384E-16
9.195795E+01 1.000000E+00 -2.506768E-16
9.372952E+01 1.000000E+00 -2.506768E-16
9.550108E+01 1.000000E+00 2.506768E-16
9.727264E+01 1.000000E+00 1.253384E-16
9.904420E+01 1.000000E+00 -3.760152E-16
1.008158E+02 1.000000E+00 1.253384E-16
1.025873E+02 1.000000E+00 1.253384E-16
1.043589E+02 1.000000E+00 1.253384E-16
1.063076E+02 1.000000E+00 1.139440E-16
1.082563E+02 1.000000E+00 5.697200E-17
1.102050E+02 1.000000E+00 -2.848600E-16
1.121537E+02 1.000000E+00 1.139440E-16
1.141025E+02 1.000000E+00 -1.139440E-16
1.160512E+02 1.000000E+00 -1.139440E-16
1.179999E+02 1.000000E+00 0.000000E+00
1.199486E+02 1.000000E+00 0.000000E+00
1.218973E+02 1.000000E+00 2.278880E-16
1.238461E+02 1.000000E+00 1.139440E-16
1.257948E+02 1.000000E+00 0.000000E+00
1.279384E+02 1.000000E+00 -2.071709E-16
1.300819E+02 1.000000E+00 -1.035854E-16
1.322255E+02 1.000000E+00 -1.035854E-16
1.343691E+02 1.000000E+00 1.035854E-16
1.365127E+02 1.000000E+00 1.035854E-16
1.386563E+02 1.000000E+00 -1.035854E-16
1.407999E+02 1.000000E+00 -2.071709E-16
1.429435E+02 1.000000E+00 0.000000E+00
1.450871E+02 1.000000E+00 5.697200E-16
1.472307E+02 1.000000E+00 -3.625491E-16
1.493742E+02 1.000000E+00 -3.107563E-16
1.517322E+02 1.000000E+00 2.825058E-16
1.540901E+02 1.000000E+00 9.416859E-17
1.564481E+02 1.000000E+00 -3.766744E-16
1.588060E+02 1.000000E+00 0.000000E+00
1.611640E+02 1.000000E+00 4.708429E-16
1.635219E+02 1.000000E+00 -1.883372E-16
1.658799E+02 1.000000E+00 1.883372E-16
1.682378E+02 1.000000E+00 -9.416859E-17
1.705958E+02 1.000000E+00 -2.825058E-16
1.729537E+02 1.000000E+00 2.825058E-16
1.753117E+02 1.000000E+00 0.000000E+00
1.779054E+02 1.000000E+00 -8.560781E-17
1.804992E+02 1.000000E+00 1.712156E-16
1.830929E+02 1.000000E+00 -2.568234E-16
1.856866E+02 1.000000E+00 -8.560781E-17
1.882804E+02 1.000000E+00 -8.560781E-17
1.908741E+02 1.000000E+00 1.712156E-16
1.934679E+02 1.000000E+00 -8.560781E-17
1.960616E+02 1.000000E+00 8.560781E-17
1.986554E+02 1.000000E+00 3.424312E-16
2.012491E+02 1.000000E+00 -2.568234E-16
2.038428E+02 1.000000E+00 0.000000E+00
2.066960E+02 1.000000E+00 -7.782528E-17
2.095491E+02 1.000000E+00 7.782528E-17
2.124022E+02 1.000000E+00 -7.782528E-17
2.152553E+02 1.000000E+00 1.556506E-16
2.181084E+02 1.000000E+00 -7.782528E-17
2.209615E+02 1.000000E+00 1.556506E-16
2.238147E+02 1.000000E+00 0.000000E+00
2.266678E+02 1.000000E+00 -1.556506E-16
2.295209E+02 1.000000E+00 2.723885E-16
2.323740E+02 1.000000E+00 -1.945632E-16
2.352271E+02 1.000000E+00 -7.782528E-17
2.383655E+02 1.000000E+00 7.075025E-17
2.415040E+02 1.000000E+00 7.075025E-17
2.446424E+02 1.000000E+00 -2.122508E-16
2.477808E+02 1.000000E+00 0.000000E+00
2.509193E+02 1.000000E+00 7.075025E-17
2.540577E+02 1.000000E+00 7.075025E-17
