3
sumW  sumStop
0.000000E+00 1.000000E+00 0.000000E+00
1.000000E+01 1.000000E+00 2.442491E-16
2.000000E+01 1.000000E+00 1.221245E-16
3.000000E+01 1.000000E+00 9.992007E-17
4.000000E+01 1.000000E+00 0.000000E+00
5.000000E+01 1.000000E+00 2.220446E-17
6.000000E+01 1.000000E+00 3.330669E-17
7.000000E+01 1.000000E+00 5.551115E-17
8.000000E+01 1.000000E+00 5.551115E-17
9.000000E+01 1.000000E+00 3.330669E-17
1.000000E+02 1.000000E+00 3.330669E-17
1.100000E+02 1.000000E+00 1.110223E-17
1.200000E+02 1.000000E+00 6.661338E-17
1.300000E+02 1.000000E+00 5.551115E-17
1.400000E+02 1.000000E+00 8.881784E-17
1.500000E+02 1.000000E+00 4.440892E-17
1.600000E+02 1.000000E+00 8.881784E-17
1.700000E+02 1.000000E+00 3.330669E-17
1.800000E+02 1.000000E+00 5.551115E-17
1.900000E+02 1.000000E+00 9.992007E-17
2.000000E+02 1.000000E+00 1.110223E-16
2.100000E+02 1.000000E+00 0.000000E+00
2.200000E+02 1.000000E+00 1.998401E-16
2.300000E+02 1.000000E+00 -2.220446E-17
2.400000E+02 1.000000E+00 7.771561E-17
2.500000E+02 1.000000E+00 9.992007E-17
2.600000E+02 1.000000E+00 1.110223E-16
2.700000E+02 1.000000E+00 1.221245E-16
2.800000E+02 1.000000E+00 4.440892E-17
2.900000E+02 1.000000E+00 1.776357E-16
3.000000E+02 1.000000E+00 8.881784E-17
3.100000E+02 1.000000E+00 0.000000E+00
3.200000E+02 1.000000E+00 1.665335E-16
3.300000E+02 1.000000E+00 1.554312E-16
3.400000E+02 1.000000E+00 8.881784E-17
3.500000E+02 1.000000E+00 8.881784E-17
3.600000E+02 1.000000E+00 -1.110223E-17
3.700000E+02 1.000000E+00 1.776357E-16
3.800000E+02 1.000000E+00 1.221245E-16
3.900000E+02 1.000000E+00 -2.220446E-17
4.000000E+02 1.000000E+00 1.776357E-16
4.100000E+02 1.000000E+00 6.661338E-17
4.200000E+02 1.000000E+00 5.551115E-17
4.300000E+02 1.000000E+00 1.665335E-16
4.400000E+02 1.000000E+00 9.992007E-17
4.500000E+02 1.000000E+00 2.220446E-17
4.600000E+02 1.000000E+00 7.771561E-17
4.700000E+02 1.000000E+00 5.551115E-17
4.800000E+02 1.000000E+00 6.661338E-17
4.900000E+02 1.000000E+00 7.771561E-17
5.000000E+02 1.000000E+00 1.332268E-16
5.100000E+02 1.000000E+00 1.221245E-16
5.200000E+02 1.000000E+00 -6.661338E-17
5.300000E+02 1.000000E+00 1.221245E-16
5.400000E+02 1.000000E+00 2.220446E-17
5.500000E+02 1.000000E+00 3.330669E-17
5.600000E+02 1.000000E+00 -1.110223E-17
5.700000E+02 1.000000E+00 5.551115E-17
5.800000E+02 1.000000E+00 -3.330669E-17
5.900000E+02 1.000000E+00 1.776357E-16
6.000000E+02 1.000000E+00 3.330669E-17
6.100000E+02 1.000000E+00 0.000000E+00
6.200000E+02 1.000000E+00 -4.440892E-17
6.300000E+02 1.000000E+00 1.110223E-17
6.400000E+02 1.000000E+00 1.443290E-16
6.500000E+02 1.000000E+00 -1.110223E-17
6.600000E+02 1.000000E+00 1.110223E-17
6.700000E+02 1.000000E+00 -5.551115E-17
6.800000E+02 1.000000E+00 1.332268E-16
6.900000E+02 1.000000E+00 2.220446E-17
7.000000E+02 1.000000E+00 -7.771561E-17
7.100000E+02 1.000000E+00 7.771561E-17
7.200000E+02 1.000000E+00 7.771561E-17
7.300000E+02 1.000000E+00 0.000000E+00
7.400000E+02 1.000000E+00 1.110223E-17
7.500000E+02 1.000000E+00 -1.110223E-16
7.600000E+02 1.000000E+00 -2.220446E-17
7.700000E+02 1.000000E+00 7.771561E-17
7.800000E+02 1.000000E+00 -2.220446E-17
7.900000E+02 1.000000E+00 -8.881784E-17
8.000000E+02 1.000000E+00 -2.220446E-17
8.100000E+02 1.000000E+00 7.771561E-17
8.200000E+02 1.000000E+00 -1.998401E-16
8.300000E+02 1.000000E+00 8.881784E-17
8.400000E+02 1.000000E+00 -1.110223E-17
8.500000E+02 1.000000E+00 0.000000E+00
8.600000E+02 1.000000E+00 -1.110223E-17
8.700000E+02 1.000000E+00 -5.551115E-17
8.800000E+02 1.000000E+00 -8.881784E-17
8.900000E+02 1.000000E+00 3.330669E-17
9.000000E+02 1.000000E+00 -1.776357E-16
9.100000E+02 1.000000E+00 -2.220446E-17
9.200000E+02 1.000000E+00 -1.776357E-16
9.300000E+02 1.000000E+00 2.109424E-16
9.400000E+02 1.000000E+00 -1.110223E-16
9.500000E+02 1.000000E+00 -4.440892E-17
9.600000E+02 1.000000E+00 -2.109424E-16
9.700000E+02 1.000000E+00 4.440892E-17
9.800000E+02 1.000000E+00 1.110223E-16
9.900000E+02 1.000000E+00 -7.771561E-17
1.000000E+03 1.000000E+00 -1.998401E-16
1.010000E+03 1.000000E+00 8.881784E-17
1.020000E+03 1.000000E+00 -5.551115E-17
1.030000E+03 1.000000E+00 -4.440892E-17
1.040000E+03 1.000000E+00 -1.110223E-17
1.050000E+03 1.000000E+00 -1.554312E-16
